Kmeans_result,人数,spending,人数比例,spending比例,质心组,Gender,Age,Annual_Income (k$),Spending_Score,weekday_visits_p12,weekend_visits_p12,visits_p12,weekday_spending_score,weekend_spending_score,with_kids_visits_p12,with_couple_visits_p12,clothing_spending_score,food&beverage_spending_score,entertainment_spending_score,kids_spending_score,人群特点,经营策略
0,6,290,3%,3%,0, 0.50 , 62 , 65 , 48 , 18 , 80 , 98 , 11 , 37 , 18 , 56 , 29 , 14 , 1 , 4 ,退休生活，周末结伴,餐饮券
1,29,1711,15%,17%,1, 0.69 , 33 , 45 , 59 , 10 , 9 , 19 , 16 , 43 , 6 , 8 , 45 , 5 , 4 , 5 ,时尚女性，敢赚敢花,服饰新品抢先信息
2,9,736,5%,7%,2, 0.56 , 32 , 97 , 82 , 41 , 39 , 80 , 20 , 62 , 72 , 2 , 24 , 38 , 8 , 12 ,精英白领，价值巅峰,幼儿类消费引导
3,22,1829,11%,18%,3, 0.59 , 33 , 86 , 83 , 19 , 17 , 36 , 23 , 60 , 17 , 12 , 42 , 17 , 14 , 11 ,周末血拼，时尚之选,服饰新品抢先信息
4,21,1012,11%,10%,4, 0.62 , 39 , 62 , 48 , 22 , 30 , 52 , 10 , 39 , 31 , 10 , 18 , 10 , 9 , 11 ,周末带娃，全栈生活,餐饮券
5,23,487,12%,5%,5, 0.57 , 44 , 27 , 21 , 7 , 8 , 15 , 6 , 15 , 5 , 8 , 7 , 8 , 5 , 1 ,中年男女，散步之选,餐饮，儿童
6,31,1904,16%,19%,6, 0.65 , 36 , 47 , 61 , 12 , 7 , 19 , 22 , 39 , 11 , 5 , 4 , 39 , 9 , 9 ,饮食男女，独善其身,餐饮券
7,7,367,4%,4%,7, 0.43 , 60 , 50 , 52 , 77 , 22 , 99 , 42 , 11 , 39 , 29 , 26 , 19 , 5 , 3 ,颐养天年，共享天伦,餐饮券
8,24,403,12%,4%,8, 0.54 , 40 , 84 , 17 , 12 , 11 , 23 , 6 , 10 , 8 , 9 , 6 , 4 , 5 , 2 ,中年多金，浅尝辄止,餐饮，儿童
9,11,218,6%,2%,9, 0.18 , 43 , 92 , 20 , 31 , 49 , 79 , 4 , 16 , 53 , 10 , 8 , 8 , 2 , 1 ,无敌奶爸，低碳溜娃,儿童
10,10,551,5%,5%,10, 0.40 , 39 , 62 , 55 , 31 , 19 , 50 , 15 , 40 , 1 , 48 , 47 , 6 , 2 , 0 ,浪漫情侣，周末之约,娱乐餐饮
11,7,532,4%,5%,11, 0.43 , 33 , 44 , 76 , 1 , 2 , 4 , 14 , 62 , 0 , 3 , 0 , 7 , 69 , 0 ,周中搬砖，周末狂欢,服饰
