,Gender,Age,Annual_Income (k$),Spending_Score,weekday_visits_p12,weekend_visits_p12,visits_p12,weekday_spending_score,weekend_spending_score,with_kids_visits_p12,with_couple_visits_p12,clothing_spending_score,food&beverage_spending_score,entertainment_spending_score,kids_spending_score
0, 0.50 , 62 , 65 , 48 , 18 , 80 , 98 , 11 , 37 , 18 , 56 , 29 , 14 , 1 , 4 
1, 0.69 , 33 , 45 , 59 , 10 , 9 , 19 , 16 , 43 , 6 , 8 , 45 , 5 , 4 , 5 
2, 0.56 , 32 , 97 , 82 , 41 , 39 , 80 , 20 , 62 , 72 , 2 , 24 , 38 , 8 , 12 
3, 0.59 , 33 , 86 , 83 , 19 , 17 , 36 , 23 , 60 , 17 , 12 , 42 , 17 , 14 , 11 
4, 0.62 , 39 , 62 , 48 , 22 , 30 , 52 , 10 , 39 , 31 , 10 , 18 , 10 , 9 , 11 
5, 0.57 , 44 , 27 , 21 , 7 , 8 , 15 , 6 , 15 , 5 , 8 , 7 , 8 , 5 , 1 
6, 0.65 , 36 , 47 , 61 , 12 , 7 , 19 , 22 , 39 , 11 , 5 , 4 , 39 , 9 , 9 
7, 0.43 , 60 , 50 , 52 , 77 , 22 , 99 , 42 , 11 , 39 , 29 , 26 , 19 , 5 , 3 
8, 0.54 , 40 , 84 , 17 , 12 , 11 , 23 , 6 , 10 , 8 , 9 , 6 , 4 , 5 , 2 
9, 0.18 , 43 , 92 , 20 , 31 , 49 , 79 , 4 , 16 , 53 , 10 , 8 , 8 , 2 , 1 
10, 0.40 , 39 , 62 , 55 , 31 , 19 , 50 , 15 , 40 , 1 , 48 , 47 , 6 , 2 , 0 
11, 0.43 , 33 , 44 , 76 , 1 , 2 , 4 , 14 , 62 , 0 , 3 , 0 , 7 , 69 , 0 
