时间,销量,售价,折扣
2020/5/1,13,39,1
2020/5/2,24,39,1
2020/5/3,8,39,1
2020/5/4,24,39,1
2020/5/5,7,39,1
2020/5/6,35,39,1
2020/5/7,14,39,1
2020/5/8,11,39,1
2020/5/9,15,39,1
2020/5/10,11,39,1
2020/5/11,22,39,1
2020/5/12,22,39,1
2020/5/13,11,39,1
2020/5/14,37,39,1
2020/5/15,11,39,1
2020/5/16,19,39,1
2020/5/17,29,39,1
2020/5/18,6,39,1
2020/5/19,19,39,1
2020/5/20,12,39,1
2020/5/21,22,39,1
2020/5/22,12,39,1
2020/5/23,18,39,1
2020/5/24,36,39,1
2020/5/25,15,39,1
2020/5/26,9,39,1
2020/5/27,7,39,1
2020/5/28,13,39,1
2020/5/29,19,39,1
2020/5/30,23,39,1
2020/5/31,27,39,1
2020/6/1,20,39,1
2020/6/2,6,39,1
2020/6/3,17,39,1
2020/6/4,13,39,1
2020/6/5,10,39,1
2020/6/6,14,39,1
2020/6/7,6,39,1
2020/6/8,16,39,1
2020/6/9,15,39,1
2020/6/10,7,39,1
2020/6/11,14,39,0.85
2020/6/12,33,39,0.85
2020/6/13,30,39,0.85
2020/6/14,35,39,0.85
2020/6/15,50,39,0.85
2020/6/16,49,39,0.85
2020/6/17,16,39,0.85
2020/6/18,53,39,0.85
2020/6/19,22,39,0.85
2020/6/20,21,39,0.85
2020/6/21,31,39,0.85
2020/6/22,19,39,0.85
2020/6/23,11,39,0.85
2020/6/24,18,39,0.85
2020/6/25,20,39,0.85
2020/6/26,12,39,0.85
2020/6/27,35,39,0.85
2020/6/28,17,39,0.85
2020/6/29,23,39,0.85
2020/6/30,17,39,0.85
2020/7/1,14,39,0.85
2020/7/2,8,39,0.85
2020/7/3,31,39,0.85
2020/7/4,30,39,0.85
2020/7/5,13,39,0.85
2020/7/6,27,39,0.85
2020/7/7,10,39,0.85
2020/7/8,39,39,0.85
2020/7/9,37,39,0.85
2020/7/10,15,39,0.85
2020/7/11,14,39,0.85
2020/7/12,13,39,0.85
2020/7/13,22,39,0.85
